City,Country,Order Date,Product,Region,Segment,Ship Mode,State,Profit/Loss,Sales,Sl.No
Chennai,INDIA,21-04-2018,Make up remover,South,Cosmetics,Take Away,Tamil Nadu,3034,93828,234
Jaipur,INDIA,21-04-2018,Powder,North,Cosmetics,Take Away,Rajasthan,1187,2436,235
Bangalore,INDIA,28-06-2017,nail Polish,South,Cosmetics,Take Away,Karnataka,1032,16548,237
Chennai,INDIA,18-02-2015,nail Polish,South,Cosmetics,Take Away,Tamil Nadu,1326,5208,243
Jaipur,INDIA,12-11-2018,Sun screen,North,Cosmetics,Take Away,Rajasthan,1230,11676,249
Ananthpur,INDIA,12-11-2018,Powder,South,Cosmetics,Take Away,Andra Pradesh,1138,7392,250
Chennai,INDIA,12-11-2018,Sun screen,South,Cosmetics,Home Delivery,Tamil Nadu,1062,20664,252
Gurgaon,INDIA,12-11-2018,lipstick,North,Cosmetics,Home Delivery,Haryana,1373,13608,253
Bubneshwar,INDIA,31-08-2017,Cold cream,Central,Cosmetics,Take Away,Orissa,1006,20916,260
Bubneshwar,INDIA,31-08-2017,Powder,Central,Cosmetics,Take Away,Orissa,1327,10164,262
Bangalore,INDIA,10-08-2015,Powder,South,Cosmetics,Take Away,Karnataka,1422,16296,271
Gurgaon,INDIA,17-01-2018,nail Polish,North,Cosmetics,Take Away,Haryana,1068,2016,280
Noida,INDIA,17-01-2018,Lotion,North,Cosmetics,Take Away,Uttar Pradesh,3099,53508,281
Agra,INDIA,03-12-2018,lipstick,North,Cosmetics,Home Delivery,Madhya Pradesh,1403,19236,283
Jaipur,INDIA,03-12-2018,Kajal,North,Cosmetics,Take Away,Rajasthan,1328,31164,287
Bubneshwar,INDIA,17-08-2015,lipstick,Central,Cosmetics,Take Away,Orissa,1471,17220,373
Hydrabad,INDIA,17-08-2015,Kajal,South,Cosmetics,Take Away,Telagana,1129,4032,374
Pune,INDIA,17-08-2015,Sun screen,Central,Cosmetics,Take Away,Maharastra,93,1008,375
Ahmedabad,INDIA,17-08-2015,Mascara,North,Cosmetics,Take Away,Gujrat,10000,274693,376
Hydrabad,INDIA,17-08-2015,Sun screen,South,Cosmetics,Take Away,Telagana,1181,22512,377
Noida,INDIA,18-04-2018,Mascara,North,Cosmetics,Take Away,Uttar Pradesh,1234,7980,378
Noida,INDIA,18-04-2018,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,1105,10752,379
Udaipur,INDIA,29-09-2016,nail Polish,North,Cosmetics,Take Away,Rajasthan,1368,31836,380
Ananthpur,INDIA,05-10-2016,Shadow,South,Cosmetics,Take Away,Andra Pradesh,1191,27888,381
Bubneshwar,INDIA,05-10-2016,Blush,Central,Cosmetics,Take Away,Orissa,1231,11424,382
Udaipur,INDIA,16-08-2018,nail Polish,North,Cosmetics,Take Away,Rajasthan,1463,9576,383
Udaipur,INDIA,09-05-2018,Eye liner,North,Cosmetics,Take Away,Rajasthan,1134,4956,384
Asansol,INDIA,09-05-2018,Kajal,North,Cosmetics,Home Delivery,West Bengal,1043,5796,385
Hydrabad,INDIA,26-08-2018,lipstick,South,Cosmetics,Take Away,Telagana,1232,2520,386
Bangalore,INDIA,30-10-2018,lipstick,South,Cosmetics,Take Away,Karnataka,1359,23520,387
Ahmedabad,INDIA,30-10-2018,Sun screen,North,Cosmetics,Take Away,Gujrat,1329,3948,388
Jamshedpur,INDIA,30-10-2018,Kajal,North,Cosmetics,Take Away,Jharkhand,1355,36540,389
Bangalore,INDIA,30-10-2018,Mascara,South,Cosmetics,Home Delivery,Karnataka,1321,44352,390
Chennai,INDIA,30-10-2018,Eye liner,South,Cosmetics,Take Away,Tamil Nadu,1153,7980,391
Jamshedpur,INDIA,30-10-2018,Lotion,North,Cosmetics,Home Delivery,Jharkhand,1110,2520,392
Agra,INDIA,30-10-2018,Powder,North,Cosmetics,Take Away,Madhya Pradesh,1052,12348,393
Agra,INDIA,23-12-2018,Eye liner,North,Cosmetics,Home Delivery,Madhya Pradesh,1397,40236,394
Ludhiyana,INDIA,11-09-2016,Mascara,North,Cosmetics,Take Away,Punjab,1197,5880,395
Bubneshwar,INDIA,11-09-2016,Kajal,Central,Cosmetics,Take Away,Orissa,1090,2940,396
Asansol,INDIA,11-09-2016,Foundation,North,Cosmetics,Take Away,West Bengal,1300,4368,397
Ananthpur,INDIA,06-02-2017,Foundation,South,Cosmetics,Take Away,Andra Pradesh,1492,3780,398
Asansol,INDIA,02-04-2017,lipstick,North,Cosmetics,Home Delivery,West Bengal,1405,8988,399
Ananthpur,INDIA,16-12-2018,Powder,South,Cosmetics,Home Delivery,Andra Pradesh,1376,4536,400
Agra,INDIA,19-10-2015,nail Polish,North,Cosmetics,Take Away,Madhya Pradesh,4984,112056,401
Pune,INDIA,02-12-2016,Blush,Central,Cosmetics,Home Delivery,Maharastra,738,3612,785
Agra,INDIA,02-12-2016,Kajal,North,Cosmetics,Take Away,Madhya Pradesh,11890,54684,786
Mangalore,INDIA,12-06-2016,lipstick,South,Cosmetics,Take Away,Karnataka,820,2016,788
Mangalore,INDIA,04-09-2017,Cold cream,South,Cosmetics,Home Delivery,Karnataka,164,2604,789
Bubneshwar,INDIA,30-12-2018,Make up remover,Central,Cosmetics,Home Delivery,Orissa,8118,31164,794
Jamshedpur,INDIA,30-08-2017,lipstick,North,Cosmetics,Take Away,Jharkhand,1394,3528,807
Udaipur,INDIA,30-11-2016,nail Polish,North,Cosmetics,Take Away,Rajasthan,7790,26544,810
Noida,INDIA,30-04-2015,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,656,3108,815
Jamshedpur,INDIA,22-12-2018,Foundation,North,Cosmetics,Take Away,Jharkhand,22058,94164,817
Mangalore,INDIA,22-12-2018,lipstick,South,Cosmetics,Take Away,Karnataka,9758,55524,819
Noida,INDIA,13-03-2015,Powder,North,Cosmetics,Take Away,Uttar Pradesh,7462,16380,824
Ludhiyana,INDIA,13-08-2017,Blush,North,Cosmetics,Take Away,Punjab,1230,20580,829
Ludhiyana,INDIA,21-11-2018,Blush,North,Cosmetics,Take Away,Punjab,82,11172,831
Mangalore,INDIA,25-09-2018,Lotion,South,Cosmetics,Take Away,Karnataka,1312,4620,835
Noida,INDIA,29-11-2015,nail Polish,North,Cosmetics,Take Away,Uttar Pradesh,82,6720,840
Coimbatore,INDIA,07-08-2016,Powder,South,Cosmetics,Take Away,Tamil Nadu,328,4116,845
Asansol,INDIA,26-10-2016,Foundation,North,Cosmetics,Take Away,West Bengal,7134,18816,849
Coimbatore,INDIA,28-05-2017,Powder,South,Cosmetics,Take Away,Tamil Nadu,6150,19236,852
Agra,INDIA,18-12-2017,wax,North,Cosmetics,Take Away,Madhya Pradesh,3116,9240,854
Surat,INDIA,18-12-2017,lipstick,North,Cosmetics,Take Away,Gujrat,0,9408,856
Agra,INDIA,18-12-2017,nail Polish,North,Cosmetics,Take Away,Madhya Pradesh,4428,11088,857
Tirupati,INDIA,29-08-2018,nail Polish,South,Cosmetics,Home Delivery,Andra Pradesh,4592,17388,860
Jamshedpur,INDIA,01-08-2015,nail Polish,North,Cosmetics,Home Delivery,Jharkhand,1230,7140,865
Asansol,INDIA,07-11-2017,lipstick,North,Cosmetics,Take Away,West Bengal,2214,20748,867
Ludhiyana,INDIA,19-06-2016,Kajal,North,Cosmetics,Home Delivery,Punjab,1558,4452,870
Asansol,INDIA,31-08-2016,lipstick,North,Cosmetics,Take Away,West Bengal,9102,159096,875
Udaipur,INDIA,27-06-2018,Serum,North,Cosmetics,Home Delivery,Rajasthan,902,1428,877
Tirupati,INDIA,22-05-2016,nail Polish,South,Cosmetics,Take Away,Andra Pradesh,1230,3948,880
Bubneshwar,INDIA,04-10-2015,nail Polish,Central,Cosmetics,Take Away,Orissa,11152,24360,885
Coimbatore,INDIA,04-10-2015,Blush,South,Cosmetics,Home Delivery,Tamil Nadu,8364,20328,887
Noida,INDIA,30-10-2017,nail Polish,North,Cosmetics,Take Away,Uttar Pradesh,902,3444,890
Ahmedabad,INDIA,24-08-2016,eye lash,North,Cosmetics,Take Away,Gujrat,0,756,895
Rewari,INDIA,24-08-2016,Powder,North,Cosmetics,Take Away,Haryana,18778,19656,897
Coimbatore,INDIA,23-08-2017,Cold cream,South,Cosmetics,Take Away,Tamil Nadu,2296,8820,898
Bubneshwar,INDIA,11-09-2018,Foundation,Central,Cosmetics,Take Away,Orissa,5084,8148,903
Ludhiyana,INDIA,30-06-2018,Sun screen,North,Cosmetics,Take Away,Punjab,13530,65604,907
Noida,INDIA,30-06-2018,Kajal,North,Cosmetics,Home Delivery,Uttar Pradesh,2542,6384,910
Ahmedabad,INDIA,14-04-2016,Foundation,North,Cosmetics,Take Away,Gujrat,11070,64176,913
Coimbatore,INDIA,13-03-2017,Kajal,South,Cosmetics,Take Away,Tamil Nadu,246,10584,917
Mangalore,INDIA,28-05-2015,Sun screen,South,Cosmetics,Home Delivery,Karnataka,2050,27216,929
Ahmedabad,INDIA,04-06-2017,Eye liner,North,Cosmetics,Take Away,Gujrat,1066,9072,932
Pune,INDIA,29-05-2018,Eye liner,Central,Cosmetics,Take Away,Maharastra,3362,9576,937
Tirupati,INDIA,29-05-2018,Foundation,South,Cosmetics,Take Away,Andra Pradesh,3936,13860,939
Ahmedabad,INDIA,30-11-2016,Kajal,North,Cosmetics,Take Away,Gujrat,6478,16548,941
Jamshedpur,INDIA,03-03-2016,Mascara,North,Cosmetics,Take Away,Jharkhand,23534,37632,944
Jamshedpur,INDIA,09-08-2015,lipstick,North,Cosmetics,Take Away,Jharkhand,5740,20916,949
Ahmedabad,INDIA,02-02-2015,Lotion,North,Cosmetics,Take Away,Gujrat,1886,22344,954
Asansol,INDIA,02-02-2015,lipstick,North,Cosmetics,Take Away,West Bengal,82,4788,956
Pune,INDIA,21-11-2016,nail Polish,Central,Cosmetics,Take Away,Maharastra,2788,6720,958
Rewari,INDIA,14-07-2018,Foundation,North,Cosmetics,Take Away,Haryana,656,2688,963
Vizak,INDIA,22-05-2018,lipstick,South,Cosmetics,Home Delivery,Telagana,13038,74928,968
Ludhiyana,INDIA,13-10-2018,Kajal,North,Cosmetics,Take Away,Punjab,9348,135744,970
Rewari,INDIA,22-05-2017,Kajal,North,Cosmetics,Take Away,Haryana,1230,17808,974
Agra,INDIA,12-09-2018,Foundation,North,Cosmetics,Take Away,Madhya Pradesh,1312,5040,979
Vizak,INDIA,24-01-2018,Mascara,South,Cosmetics,Take Away,Telagana,4510,29064,984
Jamshedpur,INDIA,17-11-2018,Kajal,North,Cosmetics,Home Delivery,Jharkhand,3772,6048,988
Ludhiyana,INDIA,19-09-2018,lipstick,North,Cosmetics,Home Delivery,Punjab,4838,31248,991
Bubneshwar,INDIA,10-11-2018,Lotion,Central,Cosmetics,Take Away,Orissa,2706,16212,994
Tirupati,INDIA,17-02-2018,lipstick,South,Cosmetics,Take Away,Andra Pradesh,0,3780,998
Korba,INDIA,01-08-2017,lipstick,North,Cosmetics,Take Away,Bihar,4756,32676,1089
Mumbai,INDIA,01-08-2017,nail Polish,Central,Cosmetics,Take Away,Maharastra,2542,37128,1090
Gurgaon,INDIA,06-10-2018,Kajal,North,Cosmetics,Take Away,Haryana,984,2100,1095
Jaipur,INDIA,06-10-2018,nail Polish,North,Cosmetics,Home Delivery,Rajasthan,328,924,1096
Ananthpur,INDIA,06-10-2018,lipstick,North,Cosmetics,Take Away,Delhi,2870,20748,1097
Korba,INDIA,06-10-2018,Powder,North,Cosmetics,Take Away,Bihar,1886,13608,1099
Ananthpur,INDIA,10-08-2017,Foundation,North,Cosmetics,Take Away,Delhi,2378,2604,1106
Lucknow,INDIA,01-01-2018,Foundation,North,Cosmetics,Take Away,Uttar Pradesh,9184,56868,1113
Lucknow,INDIA,04-12-2015,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,,271152,1114
Ananthpur,INDIA,04-12-2015,Shadow,North,Cosmetics,Take Away,Delhi,19844,83160,1117
Amritsar,INDIA,04-12-2015,Foundation,North,Cosmetics,Take Away,Punjab,1558,4200,1118
Kolkata,INDIA,04-12-2015,Kajal,North,Cosmetics,Take Away,West Bengal,7380,18480,1119
Amritsar,INDIA,09-06-2018,Powder,North,Cosmetics,Home Delivery,Punjab,4428,15120,1125
Ananthpur,INDIA,24-10-2018,Foundation,North,Cosmetics,Take Away,Delhi,3608,6300,1128
Amritsar,INDIA,24-02-2015,Kajal,North,Cosmetics,Take Away,Punjab,2536,10000,1131
Korba,INDIA,01-09-2015,nail Polish,North,Cosmetics,Take Away,Nagaland,3362,9576,1141
Hydrabad,INDIA,16-10-2015,Kajal,South,Cosmetics,Take Away,Telagana,246,8000,1144
Bilaspur,INDIA,02-04-2017,Powder,North,Cosmetics,Take Away,Nagaland,656,2184,1147
Ananthpur,INDIA,02-04-2017,lipstick,North,Cosmetics,Home Delivery,Delhi,7790,19068,1150
Bilaspur,INDIA,02-04-2017,Sun screen,North,Cosmetics,Take Away,Nagaland,3362,31164,1151
Bilaspur,INDIA,14-06-2017,eye lash,North,Cosmetics,Home Delivery,Nagaland,2296,7056,1155
Bilaspur,INDIA,05-11-2015,Foundation,North,Cosmetics,Take Away,Nagaland,3280,8652,1160
Lucknow,INDIA,18-03-2018,Sun screen,North,Cosmetics,Take Away,Uttar Pradesh,5494,5628,1162
Surat,INDIA,28-02-2017,Shadow,North,Cosmetics,Take Away,Nagaland,902,3612,1163
Hydrabad,INDIA,09-06-2015,lipstick,South,Cosmetics,Take Away,Telagana,1066,9492,1166
Ananthpur,INDIA,09-06-2015,Mascara,North,Cosmetics,Take Away,Daman And Diu,0,72240,1167
Guwahati,INDIA,09-06-2015,nail Polish,North,Cosmetics,Home Delivery,Assam,3936,24276,1169
Gurgaon,INDIA,09-06-2015,lipstick,North,Cosmetics,Take Away,Haryana,1804,4704,1170
Ananthpur,INDIA,16-02-2017,Lotion,North,Cosmetics,Take Away,Daman And Diu,4510,14028,1175
Bangalore,INDIA,30-08-2016,Make up remover,South,Cosmetics,Take Away,Karnataka,1476,22176,1179
Agra,INDIA,25-12-2018,nail Polish,North,Cosmetics,Take Away,Madhya Pradesh,1722,2016,1181
Ludhiyana,INDIA,27-05-2017,nail Polish,North,Cosmetics,Take Away,Punjab,2378,15204,1182
Jaipur,INDIA,04-08-2015,Kajal,North,Cosmetics,Take Away,Rajasthan,5412,16380,1188
Agra,INDIA,04-08-2015,Lotion,North,Cosmetics,Take Away,Madhya Pradesh,1804,4872,1190
Hydrabad,INDIA,30-04-2017,nail Polish,South,Cosmetics,Take Away,Telagana,1000,45000,1198
Surat,INDIA,05-11-2017,Powder,North,Cosmetics,Take Away,Mizoram,820,60000,1199
Gurgaon,INDIA,05-11-2017,lipstick,North,Cosmetics,Take Away,Haryana,246,1176,1200
Lucknow,INDIA,05-11-2017,Lotion,North,Cosmetics,Take Away,Uttar Pradesh,2214,17304,1201
Ludhiyana,INDIA,05-11-2017,Blush,North,Cosmetics,Home Delivery,Punjab,82,2436,1202
Bilaspur,INDIA,19-02-2017,Kajal,North,Cosmetics,Take Away,Mizoram,39524,86184,1203
Jaipur,INDIA,19-02-2017,lipstick,North,Cosmetics,Take Away,Rajasthan,738,2856,1205
Kolkata,INDIA,30-06-2016,Eye liner,North,Cosmetics,Take Away,West Bengal,2378,5040,1209
Noida,INDIA,11-08-2016,Kajal,North,Cosmetics,Take Away,Uttar Pradesh,24846,56616,1213
Ranchi,INDIA,11-08-2016,Foundation,North,Cosmetics,Take Away,Jharkhand,1312,2856,1214
Ananthpur,INDIA,19-12-2018,Serum,North,Cosmetics,Take Away,Daman And Diu,1148,3108,1216
Bubneshwar,INDIA,19-05-2016,lipstick,Central,Cosmetics,Take Away,Orissa,6314,15788,1217
Ludhiyana,INDIA,23-02-2018,Kajal,North,Cosmetics,Take Away,Punjab,902,9492,1219
Bangalore,INDIA,18-06-2018,Kajal,South,Cosmetics,Take Away,Karnataka,10414,48048,1220
Guwahati,INDIA,18-06-2018,nail Polish,North,Cosmetics,Take Away,Assam,164,588,1221
Bangalore,INDIA,18-06-2018,Sun screen,South,Cosmetics,Take Away,Karnataka,492,1932,1223
Ludhiyana,INDIA,18-06-2018,Lotion,North,Cosmetics,Take Away,Punjab,3280,10248,1224
Guwahati,INDIA,18-06-2018,lipstick,North,Cosmetics,Take Away,Assam,3608,18648,1226
Chennai,INDIA,21-04-2018,Powder,South,Cosmetics,Take Away,Tamil Nadu,36654,93828,1234
Jaipur,INDIA,21-04-2018,lipstick,North,Cosmetics,Take Away,Rajasthan,0,2436,1235
Bangalore,INDIA,28-06-2017,lipstick,South,Cosmetics,Take Away,Karnataka,9676,16548,1237
Chennai,INDIA,18-02-2015,Eye liner,South,Cosmetics,Take Away,Tamil Nadu,1886,5208,1243
Jaipur,INDIA,12-11-2018,Kajal,North,Cosmetics,Take Away,Rajasthan,1722,11676,1249
Ananthpur,INDIA,12-11-2018,Sun screen,South,Cosmetics,Take Away,Kerela,1558,7392,1250
Chennai,INDIA,12-11-2018,Foundation,South,Cosmetics,Take Away,Tamil Nadu,8036,20664,1252
Gurgaon,INDIA,12-11-2018,Foundation,North,Cosmetics,Take Away,Haryana,4510,13608,1253
Bubneshwar,INDIA,31-08-2017,Sun screen,Central,Cosmetics,Take Away,Orissa,2296,20916,1260
Bubneshwar,INDIA,31-08-2017,lipstick,Central,Cosmetics,Take Away,Orissa,492,10164,1262
Bangalore,INDIA,10-08-2015,wax,South,Cosmetics,Take Away,Karnataka,6888,16296,1271
Gurgaon,INDIA,17-01-2018,lipstick,North,Cosmetics,Take Away,Haryana,902,2016,1280
Noida,INDIA,17-01-2018,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,4100,53508,1281
Agra,INDIA,03-12-2018,Kajal,North,Cosmetics,Take Away,Madhya Pradesh,2214,19236,1283
Jaipur,INDIA,03-12-2018,Powder,North,Cosmetics,Take Away,Rajasthan,10168,31164,1287
Bubneshwar,INDIA,17-08-2015,nail Polish,Central,Cosmetics,Take Away,Orissa,3198,17220,1373
Hydrabad,INDIA,17-08-2015,Powder,South,Cosmetics,Take Away,Telagana,492,4032,1374
Pune,INDIA,17-08-2015,eye lash,Central,Cosmetics,Home Delivery,Maharastra,328,1008,1375
Ahmedabad,INDIA,17-08-2015,Kajal,North,Cosmetics,Take Away,Mizoram,,374052,1376
Hydrabad,INDIA,17-08-2015,Lotion,South,Cosmetics,Home Delivery,Telagana,1968,22512,1377
Noida,INDIA,18-04-2018,Blush,North,Cosmetics,Home Delivery,Uttar Pradesh,902,7980,1378
Noida,INDIA,18-04-2018,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,328,10752,1379
Udaipur,INDIA,29-09-2016,Cold cream,North,Cosmetics,Take Away,Rajasthan,5166,31836,1380
Ananthpur,INDIA,05-10-2016,Cold cream,South,Cosmetics,Take Away,Kerela,1804,27888,1381
Bubneshwar,INDIA,05-10-2016,Kajal,Central,Cosmetics,Home Delivery,Orissa,4264,11424,1382
Udaipur,INDIA,16-08-2018,Powder,North,Cosmetics,Home Delivery,Rajasthan,3198,9576,1383
Udaipur,INDIA,09-05-2018,lipstick,North,Cosmetics,Take Away,Rajasthan,3772,4956,1384
Asansol,INDIA,09-05-2018,Mascara,North,Cosmetics,Take Away,West Bengal,5494,5796,1385
Hydrabad,INDIA,26-08-2018,Kajal,South,Cosmetics,Take Away,Telagana,2870,2520,1386
Bangalore,INDIA,30-10-2018,Eye liner,South,Cosmetics,Take Away,Karnataka,7626,23520,1387
Ahmedabad,INDIA,30-10-2018,nail Polish,North,Cosmetics,Home Delivery,Mizoram,1230,3948,1388
Jamshedpur,INDIA,30-10-2018,lipstick,North,Cosmetics,Home Delivery,Jharkhand,3280,36540,1389
Bangalore,INDIA,30-10-2018,Make up remover,South,Cosmetics,Take Away,Karnataka,11726,44352,1390
Chennai,INDIA,30-10-2018,Kajal,South,Cosmetics,Home Delivery,Tamil Nadu,2050,7980,1391
Jamshedpur,INDIA,30-10-2018,Kajal,North,Cosmetics,Take Away,Jharkhand,82,2520,1392
Agra,INDIA,30-10-2018,Eye liner,North,Cosmetics,Home Delivery,Madhya Pradesh,738,12348,1393
Agra,INDIA,23-12-2018,nail Polish,North,Cosmetics,Home Delivery,Madhya Pradesh,8200,40236,1394
Ludhiyana,INDIA,11-09-2016,Kajal,North,Cosmetics,Home Delivery,Punjab,2378,5880,1395
Bubneshwar,INDIA,11-09-2016,Lotion,Central,Cosmetics,Home Delivery,Orissa,1476,2940,1396
Asansol,INDIA,11-09-2016,Eye liner,North,Cosmetics,Take Away,West Bengal,902,4368,1397
Ananthpur,INDIA,06-02-2017,lipstick,South,Cosmetics,Take Away,Kerela,656,3780,1398
Asansol,INDIA,02-04-2017,Blush,North,Cosmetics,Home Delivery,West Bengal,738,8988,1399
Ananthpur,INDIA,16-12-2018,Powder,South,Cosmetics,Take Away,Kerela,82,4536,1400
Agra,INDIA,19-10-2015,Powder,North,Cosmetics,Take Away,Madhya Pradesh,16400,112056,1401
Pune,INDIA,02-12-2016,Serum,Central,Cosmetics,Take Away,Maharastra,738,3612,1785
Agra,INDIA,02-12-2016,Serum,North,Cosmetics,Take Away,Madhya Pradesh,11890,54684,1786
Mangalore,INDIA,12-06-2016,Kajal,South,Cosmetics,Take Away,Karnataka,820,2016,1788
Mangalore,INDIA,04-09-2017,Powder,South,Cosmetics,Take Away,Karnataka,164,2604,1789
Bubneshwar,INDIA,30-12-2018,Foundation,Central,Cosmetics,Take Away,Orissa,8118,31164,1794
Jamshedpur,INDIA,30-08-2017,nail Polish,North,Cosmetics,Take Away,Jharkhand,1394,3528,1807
Udaipur,INDIA,30-11-2016,Powder,North,Cosmetics,Take Away,Rajasthan,7790,26544,1810
Noida,INDIA,30-04-2015,Powder,North,Cosmetics,Take Away,Uttar Pradesh,656,3108,1815
Jamshedpur,INDIA,22-12-2018,nail Polish,North,Cosmetics,Take Away,Jharkhand,22058,94164,1817
Mangalore,INDIA,22-12-2018,lipstick,South,Cosmetics,Take Away,Karnataka,9758,55524,1819
Noida,INDIA,13-03-2015,lipstick,North,Cosmetics,Take Away,Uttar Pradesh,7462,16380,1824
Ludhiyana,INDIA,13-08-2017,lipstick,North,Cosmetics,Take Away,Punjab,1230,20580,1829
